Molecule,Pred Ki,Confidence,Pred Scale
111,42.13386156271934,Confident,+
112,4.070446465393506,Confident,+
113,60.70304140332869,Confident,++
114,23.00928338205002,Confident,+
115,2.298965234744292,Confident,+
116,16.59911278560133,Confident,+
117,160.68863469142264,Confident,++
118,55.545896922377146,Confident,++
119,186.57957841423897,Confident,++
120,65.77091226345063,Confident,++
121,15.834554331065702,Confident,+
122,49.27628446966552,Confident,+
123,114.81934080533549,Confident,++
124,210.1421494477072,Confident,++
125,107.3900014855017,Confident,++
126,80.65768109892416,Confident,++
127,38.878082109017036,Confident,+
128,38.878082109017036,Confident,+
129,94.6474376412168,Confident,++
130,30.469514145979243,Confident,+
131,51.444327695746104,Confident,++
132,161.42402762225316,Confident,++
133,21.242130064408883,Confident,+
134,282.6861024121187,Confident,++
135,53.77952082018265,Confident,++
136,51.444327695746104,Confident,++
137,58.17593979924564,Confident,++
138,32.57371249667181,Confident,+
139,25.397091780895284,Confident,+
140,51.444327695746104,Confident,++
141,389.5948584485236,Confident,++
142,40.210054570653625,Confident,+
143,41.22307374059992,Confident,+
144,30.577561618985555,Confident,+
145,41.94780922700669,Confident,+
146,2.939160613776178,Confident,+
147,20.756007077590258,Confident,+
148,284.127411346297,Confident,++
149,6.8959465734843315,Confident,+
150,11.410197287522545,Confident,+
151,4.6257588590843595,Confident,+
152,205.02981010371337,Confident,++
153,70.97686071886113,Confident,++
154,14.229884191697735,Confident,+
155,40.89263708690355,Confident,+
156,9.46860979855835,Confident,+
157,48.28384921554157,Confident,+
158,28.347652564443642,Confident,+
159,22.48841945860281,Confident,+
160,29.822499776209593,Confident,+
161,5.1198516265422,Confident,+
162,28.347652564443642,Confident,+
163,28.347652564443642,Confident,+
164,93.62070853666349,Confident,++
165,0.8669454516829016,Confident,+
166,40.20789054089433,Confident,+
167,46.890579855067465,Confident,+
168,74.7049137150499,Confident,++
169,30.62995589507117,Confident,+
170,78.45454508535515,Confident,++
171,36.67689739051186,Confident,+
172,23.69530931633405,Confident,+
173,344.5089036278383,Confident,++
174,39.806453287014236,Confident,+
175,168.43554782150844,Confident,++
176,28.892056423228127,Confident,+
177,28.959550190263574,Confident,+
178,83.84024041718696,Confident,++
179,153.77162016328134,Confident,++
180,100.2486453020862,Confident,++
181,434.57069556570366,Confident,++
182,148.76756435285066,Confident,++
183,51.084569073210936,Confident,++
184,28.892056423228127,Confident,+
185,26.861314032509565,Confident,+
186,51.11101713360932,Confident,++
187,9.613943829510143,Confident,+
188,22.062139966199016,Confident,+
189,145.51313420684338,Confident,++
190,3.017286341853915,Confident,+
191,144.68099550728155,Confident,++
192,6.03832742918413,Confident,+
193,54.452983580582206,Confident,++
194,3.1811247973618233,Confident,+
195,24.9011131147484,Confident,+
196,26.558043731782412,Confident,+
197,15.40343233908602,Confident,+
198,15.40343233908602,Confident,+
199,14.074061851175085,Confident,+
200,189.29461535977148,Confident,++
201,62.19760841241933,Confident,++
202,38.347672732188286,Confident,+
203,39.722791676941,Confident,+
204,33.08856779710636,Confident,+
205,36.323207633403726,Confident,+
206,43.687228385458496,Confident,+
207,36.323207633403726,Confident,+
208,223.31708304964639,Confident,++
209,60.31859774391805,Confident,++
210,39.57338132148258,Confident,+
211,18.19127376271133,Confident,+
212,26.782123481460044,Confident,+
213,49.32613249496688,Confident,+
214,23.554598149254904,Confident,+
215,223.5812760197803,Confident,++
216,35.17679963873071,Confident,+
217,46.1222064622364,Confident,+
218,46.1222064622364,Confident,+
219,45.98897482375644,Confident,+
220,15.5000367408862,Confident,+
221,38.366978187587286,Confident,+
222,20.720770671964868,Confident,+
223,21.28972779079153,Confident,+
224,32.61510388742904,Confident,+
225,46.46463993100379,Confident,+
226,47.10823253015529,Confident,+
227,10.917337283127582,Confident,+
228,43.62573863558445,Confident,+
229,24.368283763787147,Confident,+
230,39.407278826854665,Confident,+
231,28.892056423228127,Confident,+
232,22.519578596330422,Confident,+
233,54.2752723529437,Confident,++
234,38.61854438323748,Confident,+
235,565.2075204296643,Confident,+++
236,16.275507105629785,Confident,+
237,86.9654595625241,Confident,++
238,39.407278826854665,Confident,+
239,104.9467340955442,Confident,++
240,34.86867918755311,Confident,+
241,34.86867918755311,Confident,+
242,45.40210215311253,Confident,+
243,70.57258713965282,Confident,++
244,32.79481165469761,Confident,+
245,70.47358281511788,Confident,++
246,8.156127073127864,Confident,+
247,128.30261909333734,Confident,++
248,23.902618426536762,Confident,+
249,23.902618426536762,Confident,+
250,23.902618426536762,Confident,+
251,13.963506972080895,Confident,+
252,3.8043880443058087,Confident,+
253,46.973093748229225,Confident,+
254,37.53555756466068,Confident,+
255,17.924767789173725,Confident,+
256,24.758994423285433,Confident,+
257,24.758994423285433,Confident,+
258,30.558957936486898,Confident,+
259,102.44911006027263,Confident,++
260,102.44911006027263,Confident,++
261,419.2799965031636,Confident,++
262,24.743293996129065,Confident,+
263,195.0636199214878,Confident,++
264,180.08167139270287,Confident,++
265,28.959550190263574,Confident,+
266,32.91496603179645,Confident,+
267,2242.0610781564956,Confident,+++
268,52.66014859642598,Confident,++
269,49.16445456900106,Confident,+
270,19.901868832752427,Confident,+
271,183.14886924376233,Confident,++
272,69.18776038666388,Confident,++
273,20.18761375791218,Confident,+
274,110.9887025085387,Confident,++
275,15.7421130564275,Confident,+
276,247.16562700779852,Confident,++
277,45.237242704116035,Confident,+
278,24.417771556279426,Confident,+
279,16.64568836671976,Confident,+
280,50.582712585135155,Confident,++
281,41.21946977536152,Confident,+
282,13.085823722857631,Confident,+
283,104.24252817731549,Confident,++
284,12.591830745031594,Confident,+
285,12.591830745031594,Confident,+
286,39.34451400109735,Confident,+
287,49.91175973522463,Confident,+
288,126.5584842827559,Confident,++
289,118.50955945264367,Confident,++
290,20.756007077590258,Confident,+
291,257.682079069352,Confident,++
292,57.75136347469063,Confident,++
293,18.232700125154494,Confident,+
294,18.232700125154494,Confident,+
295,132.524300591823,Confident,++
296,28.54481576004865,Confident,+
297,28.54481576004865,Confident,+
298,28.54481576004865,Confident,+
299,32.099238624145904,Confident,+
300,44.40351150375939,Confident,+
301,23.475918798205072,Confident,+
302,18.811640993296304,Confident,+
303,147.1382767232623,Confident,++
304,147.1382767232623,Confident,++
305,48.3357525551916,Confident,+
306,64.3028432821577,Confident,++
307,18.246665689185754,Confident,+
308,201.61876509978902,Confident,++
309,20.022177785305974,Confident,+
310,524.8867602547779,Confident,+++
311,15.860325619478147,Confident,+
312,34.90040459094213,Confident,+
313,34.90040459094213,Confident,+
314,186.06927872691085,Confident,++
315,81.53043429037174,Confident,++
316,35.07383581397319,Confident,+
317,27.15491400624318,Confident,+
318,233.1118426173692,Confident,++
319,4.146023078817338,Confident,+
320,71.29460950511873,Confident,++
321,30.969212360381757,Confident,+
322,133.3731463102982,Confident,++
323,91.82223514622687,Confident,++
324,220.01286153002002,Confident,++
325,136.38376709558815,Confident,++
326,53.06467924679044,Confident,++
