iter	RMSE
495	0.3775569785
496	0.3767747235
497	0.3765875847
498	0.3753372075
499	0.3746039648
500	0.3738224615
501	0.3724896889
502	0.3713327328
503	0.3710872422
504	0.3701743775
505	0.3694505731
506	0.3684299732
507	0.3675518578
508	0.3666515796
509	0.3655317498
510	0.3648445247
511	0.364315419
512	0.3637361677
513	0.3629994718
514	0.3620602084
515	0.3612089881
516	0.3610585202
517	0.3596968127
518	0.3586350923
519	0.3574684453
520	0.3571030057
521	0.3569246039
522	0.3556230991
523	0.3550481482
524	0.3537763789
525	0.3528666022
526	0.3518488472
527	0.3510495391
528	0.3503222038
529	0.3501044867
530	0.3489531273
531	0.3485946184
532	0.3476750256
533	0.346904242
534	0.3455129727
535	0.3444803824
536	0.3431681994
537	0.34236129
538	0.3410449572
539	0.3401280009
540	0.3392445305
541	0.3381920262
542	0.3373839952
543	0.3365707082
544	0.3364235931
545	0.3353966203
546	0.334480837
547	0.3334401829
548	0.3325794256
549	0.3321255515
550	0.3313590419
551	0.3305635575
552	0.3298473805
553	0.3284150559
554	0.3274464688
555	0.3270107417
556	0.3268030216
557	0.3258485759
558	0.3249419863
559	0.3242670592
560	0.3232442963
561	0.3224019465
562	0.3215651231
563	0.3209747877
564	0.3202522348
565	0.3195682435
566	0.3186807332
567	0.3182012332
568	0.3168211833
569	0.3164183745
570	0.3156913461
571	0.3151901765
572	0.3142688716
573	0.3136984041
574	0.3135606008
575	0.3128621557
576	0.3117832539
577	0.3114222344
578	0.3105429175
579	0.3100395252
580	0.3095762473
581	0.3089036619
582	0.3084415545
583	0.3073803131
584	0.3067845267
585	0.3062920794
586	0.3056580985
587	0.3052153382
588	0.3050866064
589	0.3047851916
590	0.3038857004
591	0.3029446991
592	0.3026084564
593	0.3024328859
594	0.301745268
595	0.3006998786
596	0.3005727037
597	0.2999202817
598	0.2992351962
599	0.2991111887
600	0.298406826
601	0.2977029769
602	0.2968675712
603	0.296187913
604	0.2954802481
605	0.2953801513
606	0.2946274129
607	0.2936771405
608	0.2931102256
609	0.2924102635
610	0.2922704531
611	0.2921480559
612	0.2917193963
613	0.2915010377
614	0.2906789997
615	0.2900352536
616	0.2894181658
617	0.2889838427
618	0.2881212981
619	0.2874910214
620	0.28736231
621	0.2869229214
622	0.2864601519
623	0.2861173178
624	0.2859472476
625	0.2855333929
626	0.2850735419
627	0.2845876713
628	0.2838530713
629	0.2833290659
630	0.2827168609
631	0.2822681197
632	0.2814786992
633	0.2813894527
634	0.2808899212
635	0.2803260048
636	0.2794565007
637	0.2792744356
638	0.2785150219
639	0.2780782129
640	0.2779762251
641	0.2773334727
642	0.2765015391
643	0.2759365006
644	0.2752497
645	0.2749822228
646	0.2748880148
647	0.274112314
648	0.2734165437
649	0.2729443583
650	0.2721386127
651	0.2716020212
652	0.2709476566
653	0.2703544244
654	0.2698626585
655	0.2691527133
656	0.2687028988
657	0.2679697707
658	0.2674908836
659	0.2670820463
660	0.2664194431
661	0.2658684974
662	0.2654102851
663	0.2649113676
664	0.2644361775
665	0.2636958071
666	0.262923823
667	0.2624182218
668	0.261760502
669	0.2614777265
670	0.261003428
671	0.2606553805
672	0.2600074661
673	0.2593043488
674	0.2588114979
675	0.2585276132
676	0.2580843743
677	0.2575760955
678	0.2569741601
679	0.2564050712
680	0.2559992287
681	0.2553276944
682	0.2552490082
683	0.2546515885
684	0.2541828821
685	0.2535026203
686	0.2528908245
687	0.2524292568
688	0.2518250214
689	0.2514221977
690	0.251033417
691	0.2504263061
692	0.2499866103
693	0.2493283033
694	0.2487275513
695	0.2481728693
696	0.2475986532
697	0.2473356091
698	0.2467330071
699	0.2462913338
700	0.2459161624
701	0.245848329
702	0.245686712
703	0.2456292772
704	0.2454453253
705	0.2450103751
706	0.2445692526
707	0.2438825709
708	0.2436261746
709	0.2430682891
710	0.242435144
711	0.241849577
712	0.2414063237
713	0.2409124773
714	0.2405102537
715	0.2399936828
716	0.2396249316
717	0.2391772582
718	0.2386548538
719	0.2381708159
720	0.2377207025
721	0.2373245292
722	0.2369071086
723	0.2363952735
724	0.2357501609
725	0.2353207254
726	0.2348496115
727	0.2343024795
728	0.2340016351
729	0.2337117841
730	0.2332668486
731	0.2328565478
732	0.2324297076
733	0.2320949866
734	0.2316555912
735	0.231594818
736	0.2310662359
737	0.23089237
738	0.2301688175
739	0.2295939335
740	0.229044109
741	0.2286930177
742	0.2284266155
743	0.2279491512
744	0.2275689982
745	0.2271945658
746	0.2268802898
747	0.2262879444
748	0.2258406489
749	0.2253927943
750	0.2252430345
751	0.2246949024
752	0.2242781615
753	0.2238844887
754	0.2233330548
755	0.2232493531
756	0.2227387568
757	0.2224290539
758	0.2221840834
759	0.2215618621
760	0.2215036532
761	0.2209353875
762	0.2207930166
763	0.2203440284
764	0.2200639962
765	0.219624778
766	0.2192924918
767	0.2188588993
768	0.2183282064
769	0.2177889928
770	0.2171052882
771	0.2169981993
772	0.2166560011
773	0.2163608022
774	0.2159268008
775	0.2154792624
776	0.2150620008
777	0.2144587793
778	0.2139493448
779	0.2137671715
780	0.2133700712
781	0.2129212503
782	0.2126332184
783	0.2123012857
784	0.2119463688
785	0.211577254
786	0.2112109454
787	0.210890292
788	0.2107878349
789	0.2103203649
790	0.2102483007
791	0.2095955858
792	0.2092870686
793	0.2091208774
794	0.2088421407
795	0.2084945744
796	0.2081995121
797	0.2079074935
798	0.2074909659
799	0.2071675055
800	0.2067317124
801	0.2064352486
802	0.2063725113
803	0.2060382295
804	0.2059331081
805	0.2056854916
806	0.2053885157
807	0.2053399805
808	0.2052049664
809	0.2049007047
810	0.204638959
811	0.204272967
812	0.2040110239
813	0.2036857951
814	0.2032718575
815	0.2032290247
816	0.2030543136
817	0.2029782747
818	0.2026123641
819	0.2023707732
820	0.2021466783
821	0.2018361542
822	0.2016931467
823	0.2013994558
824	0.2013644574
825	0.2010269949
826	0.2007770367
827	0.2004558866
828	0.1999143128
829	0.1995678678
830	0.1992642319
831	0.1987640916
832	0.1985339441
833	0.1982865479
834	0.198203171
835	0.1978889917
836	0.1975813556
837	0.197416524
838	0.1971136171
839	0.1970804256
840	0.1967913819
841	0.1967498402
842	0.1965895753
843	0.1963417828
844	0.1963085139
845	0.1959515329
846	0.1957253491
847	0.1955927876
848	0.1953647441
849	0.1951772334
850	0.1950238559
851	0.194931535
852	0.1946992409
853	0.1944262012
854	0.1943384471
855	0.1941223652
856	0.1938710149
857	0.1937791376
858	0.1935930545
859	0.1935517724
860	0.1935057648
861	0.1934785796
862	0.1932471061
863	0.1929480196
864	0.1925772642
865	0.1923018946
866	0.1922659798
867	0.1918452042
868	0.1915924262
869	0.1913483764
870	0.191152127
871	0.1908690748
872	0.1906545574
873	0.1902820267
874	0.190009264
875	0.1898090536
876	0.1895176754
877	0.1892916419
878	0.1891310933
879	0.1889795074
880	0.1887867145
881	0.1884822585
882	0.1882404071
883	0.1879474067
884	0.1876326298
885	0.1875153038
886	0.1872498421
887	0.1870364468
888	0.1868300893
889	0.1866031626
890	0.1863316878
891	0.1860048025
892	0.1859330188
893	0.185734501
894	0.1853989572
895	0.1851154063
896	0.1846975131
897	0.184513872
898	0.1844002959
899	0.1840718806
900	0.1838660523
901	0.1837190946
902	0.1836890776
903	0.1834756531
904	0.1832007398
905	0.182926961
906	0.1827293271
907	0.1824423092
908	0.182214292
909	0.1819137821
910	0.1815813651
911	0.1813143527
912	0.18114376
913	0.18086767
914	0.1807390657
915	0.1805519136
916	0.1803271168
917	0.1802459599
918	0.1800219237
919	0.1798175384
920	0.1795550106
921	0.1793352909
922	0.1791397503
923	0.1788726979
924	0.1787137543
925	0.1784100819
926	0.178355795
927	0.1781391314
928	0.1779282716
929	0.1777421731
930	0.1775987335
931	0.1775416997
932	0.1774394697
933	0.1772749729
934	0.1771094021
935	0.1767633904
936	0.1765590234
937	0.1763797909
938	0.1763515701
939	0.1761710674
940	0.1760305987
941	0.1758679156
942	0.1755871136
943	0.1753591853
944	0.1752562537
945	0.1749022783
946	0.1746831434
947	0.1745289706
948	0.1743820799
949	0.174168735
950	0.174018697
951	0.1737829117
952	0.17350576
953	0.1733194286
954	0.173170985
955	0.1729964681
956	0.172817358
957	0.1726318643
958	0.1724501011
959	0.1723311545
960	0.1721574159
961	0.1718972145
962	0.1717766064
963	0.1716372189
964	0.1715049354
965	0.1712378905
966	0.1710222632
967	0.1708969516
968	0.1707485834
969	0.1706298328
970	0.1704943947
971	0.1702971677
972	0.1700667368
973	0.1698554671
974	0.1697335201
975	0.1695308174
976	0.1692753903
977	0.1691301233
978	0.1689339696
979	0.1687889882
980	0.1687713984
981	0.1685651034
982	0.1682602708
983	0.168082302
984	0.1679012854
985	0.1676645351
986	0.1676482704
987	0.1675274677
988	0.1673126047
989	0.1671150987
990	0.1670965402
991	0.1669049699
992	0.1668452816
993	0.1666501844
994	0.1664776572
995	0.1662766363
996	0.1661593715
997	0.1661437099
998	0.1660349543
999	0.16598901
